"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
905878352825130_2181897768556509,https://www.facebook.com/NogginLA/posts/2181897768556509,"Dora tiene una actitud proactiva y también es reflexiva y paciente. A menudo decide &quot;detenerse y pensar&quot; en un problema cuando no puede resolverlo de inmediato. No se pierdan la NUEVA TEMPORADA COMPLETA de Dora la Exploradora. ¡Descarga la app para disfrutarlo con tu peque!",Video,,,"05/02/2019 07:48:00 AM"," ",475,475,0,672,672,0,328,320,410,0,0,337,254,0,0,11,226,260,0,0,361,421,0,0,13803,18387,10,1,,10,2,,312,26,,,373,37,,,,
905878352825130_2172418216171131,https://www.facebook.com/NogginLA/posts/2172418216171131,"¿Puedes nombrar tu show favorito con emojis? Noggin pone a tu disposición los mejores contenidos de Nick Jr. con novedades cada mes, mega estrenos y especiales para que tu peque se eduque y entretenga. ¡Descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/27/2019 07:00:01 AM"," ",525,525,0,740,740,0,47,41,68,0,0,531,389,0,0,22,26,28,0,0,103,113,0,0,5778,24190,5,1,,5,1,,28,27,,1,32,35,,1,,
905878352825130_2172339396179013,https://www.facebook.com/NogginLA/posts/2172339396179013,"Noggin está 100% pensado para el bienestar de los peques. Con contenido creado por expertos y una plataforma cerrada, somos una forma segura de monitorear la información digital que consume tu hijo #protegeatushijos 
Android: https://goo.gl/A8pm8K
iOS: https://goo.gl/obGlp5",Video,,,"04/26/2019 08:28:04 AM"," ",537,537,0,767,767,0,33,26,38,0,0,583,418,0,0,16,36,40,0,0,108,117,0,0,4823,13694,7,1,,7,1,,17,15,,,20,18,,,,
905878352825130_2158602790886007,https://www.facebook.com/NogginLA/posts/2158602790886007,"¿Qué valores comunica Nella la Princesa Valiente a tu peque? Autoconfianza, inclusión y que lo importante es disfrutar del proceso de sortear los distintos obstáculos que se te presentan. Descarga la app 👉📱 Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/20/2019 07:00:01 AM"," ",350,350,0,496,496,0,36,34,68,0,0,379,264,0,0,9,31,32,0,0,69,86,0,0,5752,18387,1,1,,1,1,,31,14,,,43,25,,,,
905878352825130_2158600617552891,https://www.facebook.com/NogginLA/posts/2158600617552891,"¿Buscas entretenimiento educativo para tu peque? Rusty Rivets presenta las técnicas básicas del proceso de ingeniería para preescolares - lo justo para sembrar un interés. ¡Descarga Noggin y disfruta de las mejores series de Nick Jr sin publicidad! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/19/2019 07:00:00 AM"," ",420,420,0,597,597,0,37,33,60,0,0,424,296,0,0,12,29,35,0,0,88,96,0,0,5064,16338,2,2,,2,2,,30,14,,1,38,21,,1,,
905878352825130_2150540631692223,https://www.facebook.com/NogginLA/posts/2150540631692223,"¡Llega Semana Santa y con ella el especial Cuentos de Pascua! Blaze, Paw Patrol y Team Umizoomi necesitarán la ayuda de tu peque para encontrar los huevos de pascuas y otros dulces festivos. ¡Descarga Noggin y obtén 7 días gratis! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/13/2019 06:00:16 AM"," ",328,328,0,457,457,0,39,36,106,0,0,325,251,0,0,10,34,47,0,0,75,102,0,0,6575,15635,6,,,6,,,31,14,,,86,20,,,,
905878352825130_2150531545026465,https://www.facebook.com/NogginLA/posts/2150531545026465,"Nella la Princesa Valiente es una princesa dedicada a actividades reales y se transforma cuando ella o sus amigos se encuentran en problemas. Su mensaje es excelente para niños porque les recuerda que no estamos definidos por cómo nos vemos, sino por lo que creemos que podemos hacer.",Video,,,"04/12/2019 09:47:52 AM"," ",301,301,0,417,417,0,36,35,92,0,0,291,220,0,0,12,33,41,0,0,62,85,0,0,6284,15379,2,,,2,,,35,7,,,79,13,,,,
905878352825130_2138116199601333,https://www.facebook.com/NogginLA/posts/2138116199601333,"¡Llegó Nella la Princesa Valiente, el mega estreno del mes! Descarga la serie que cambiará el mundo de las princesas para siempre 👑🗡💖🛡. Encuéntrala y disfrútala offline con tu peque 🤳

Android: https://goo.gl/A8pm8K 
iOS: https://goo.gl/obGlp5",Video,,,"04/05/2019 07:50:00 AM"," ",360,360,0,476,476,0,118,115,205,0,0,256,205,0,0,8,71,79,0,0,140,177,0,0,14226,30377,4,1,,5,1,,111,17,,,166,39,,,,
905878352825130_2138107082935578,https://www.facebook.com/NogginLA/posts/2138107082935578,"¡Tenemos una nueva temporada completa de Pistas de Blue! ¿Lo conoces? Es el show que revolucionó el género de serie animada educativa al invitar a sus espectadores a participar. ¡Descarga la app de Noggin para que tu peque obtenga este beneficio!",Video,,,"04/04/2019 08:34:39 AM"," ",385,385,0,529,529,0,219,214,266,0,0,306,222,0,0,13,159,178,0,0,259,291,0,0,12276,18643,7,1,,8,2,,209,22,,,241,25,,,,
905878352825130_2133377510075202,https://www.facebook.com/NogginLA/posts/2133378240075129:0,"Noggin Latinoamérica",Photo,,,"04/01/2019 07:48:17 AM"," ",9,9,0,10,10,0,23,8,12,0,0,3,2,0,0,8,0,0,0,0,0,0,0,0,0,0,13,,2,21,,2,,,8,,,,12,,,
905878352825130_2128571497222470,https://www.facebook.com/NogginLA/posts/2128571497222470,"Los Chocolix es nuestra nueva serie. Trae interesantes relatos de familia y muuuuuchas choco canciones para bailar con tus peques ¡Descarga Noggin ya! 
Android: https://goo.gl/A8pm8K 
iOS: https://goo.gl/obGlp5",Video,,,"03/31/2019 06:00:00 AM"," ",619,619,0,826,826,0,67,60,157,0,0,674,525,0,0,17,24,31,0,0,116,163,0,0,10761,56297,6,2,,6,2,,53,17,,,123,34,,,,
905878352825130_2128560307223589,https://www.facebook.com/NogginLA/posts/2128560307223589,"Aprendizajes cargados de aventura de la mano de Paw Patrol + Blaze and the Monster Machines llegaron a Noggin. Muchas lecciones de STEM y desarrollo social para tu peque. ¡Aprovecha los 7 días gratis y descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/29/2019 08:00:01 AM"," ",714,714,0,963,963,0,303,298,536,0,0,770,583,0,0,27,281,410,0,0,374,540,0,0,9983,9983,15,1,,18,1,,286,28,,2,496,38,,2,,
905878352825130_2118249668254653,https://www.facebook.com/NogginLA/posts/2118249668254653,"¡Llegó el postre! Chocolix, el show más dulce y familiero de Nick Jr. que tu peque podrá disfrutar sin comerciales, cuando y donde quiera. ¡Descarga Noggin ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/23/2019 07:00:01 AM"," ",343,343,0,518,518,0,33,33,73,0,0,368,253,0,0,13,22,23,0,0,83,99,0,0,4322,12478,,,,,,,28,17,,,49,24,,,,
905878352825130_2118315324914754,https://www.facebook.com/NogginLA/posts/2118315324914754,"Con altas expectativas, iniciativa y proactividad, el personaje de Skye de Paw Patrol es un modelo a seguir para miles de niñas. Encuentra los especiales de Paw Patrol en Noggin. ¡Descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/22/2019 12:22:37 PM"," ",521,521,0,728,728,0,431,426,595,0,0,278,182,0,0,19,264,303,0,0,502,610,0,0,18035,26025,8,2,,8,2,,417,34,,1,532,62,,1,,
905878352825130_2108206655925621,https://www.facebook.com/NogginLA/posts/2108206655925621,"Tenemos entretenimiento que enseña: Paw Patrol y Blaze and the Monster Machines llegaron con su dinamismo y formato interactivo para mostrarle a tu peque lecciones de trabajo en equipo. ¡Suscríbete ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/16/2019 08:00:17 AM"," ",1700,1700,0,2309,2309,0,770,743,1348,1,1,1928,1472,0,0,62,703,1032,0,0,950,1434,0,0,13459,13459,32,3,,36,3,,716,67,,5,1237,106,,5,1,1
905878352825130_2108205592592394,https://www.facebook.com/NogginLA/posts/2108205592592394,"Tenemos unas chocolatosas novedades...¡Descarga la app para disfrutar de nuevos sabores y aventuras!",Video,,,"03/15/2019 10:55:00 AM"," ",292,292,0,428,428,0,29,26,88,0,0,309,215,0,0,7,14,22,0,0,58,89,0,0,7496,22526,4,,,4,,,23,11,,,69,19,,,,
905878352825130_2089493151130305,https://www.facebook.com/NogginLA/posts/2089493151130305,"Noggin es la plataforma con los shows más apasionantes y anticipados por tus hijos. ¡Desde el inicio hasta el final, tú y tus hijos no podrán dejar de cantar! ¿Qué esperas para descargar la app? Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/09/2019 05:00:02 AM"," ",760,760,0,1045,1045,0,128,125,287,0,0,524,386,0,0,21,90,105,0,0,235,291,0,0,15474,40363,6,2,2,7,2,2,106,42,,1,210,76,,1,,
905878352825130_2089476234465330,https://www.facebook.com/NogginLA/posts/2089476234465330,"¿Una app de streaming para que tus peques puedan disfrutar de Blaze y los Monster Machines + lo mejor de Nick Jr. sin comerciales? ¡Suscríbete ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/08/2019 07:00:02 AM"," ",685,685,0,930,930,0,281,279,477,0,0,297,217,0,0,13,105,133,0,0,319,391,0,0,46934,96105,11,,,13,,,268,82,,,374,103,,,,
905878352825130_2089140044498949,https://www.facebook.com/NogginLA/posts/2089140424498911:0,"Noggin Latinoamérica",Photo,,,"03/01/2019 07:27:06 AM"," ",1,1,0,3,3,0,11,8,17,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,,2,4,,3,,,8,,,,17,,,
