"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
905878352825130_2172418216171131,https://www.facebook.com/NogginLA/posts/2172418216171131,"¿Puedes nombrar tu show favorito con emojis? Noggin pone a tu disposición los mejores contenidos de Nick Jr. con novedades cada mes, mega estrenos y especiales para que tu peque se eduque y entretenga. ¡Descárgala ya! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/27/2019 07:00:01 AM"," ",544,544,0,758,758,0,55,50,80,0,0,538,396,0,0,22,30,33,0,0,112,123,0,0,6048,24190,6,1,,6,1,,35,31,1,,39,40,1,,,
905878352825130_2172339396179013,https://www.facebook.com/NogginLA/posts/2172339396179013,"Noggin está 100% pensado para el bienestar de los peques. Con contenido creado por expertos y una plataforma cerrada, somos una forma segura de monitorear la información digital que consume tu hijo #protegeatushijos 
Android: https://goo.gl/A8pm8K
iOS: https://goo.gl/obGlp5",Video,,,"04/26/2019 08:28:04 AM"," ",555,555,0,783,783,0,37,30,45,0,0,590,425,0,0,16,38,42,0,0,114,124,0,0,4852,13694,7,1,,7,1,,20,17,,,23,22,,,,
905878352825130_2158602790886007,https://www.facebook.com/NogginLA/posts/2158602790886007,"¿Qué valores comunica Nella la Princesa Valiente a tu peque? Autoconfianza, inclusión y que lo importante es disfrutar del proceso de sortear los distintos obstáculos que se te presentan. Descarga la app 👉📱 Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/20/2019 07:00:01 AM"," ",367,367,0,513,513,0,46,43,84,0,0,387,271,0,0,9,36,37,0,0,78,96,0,0,5829,18387,1,1,,1,1,,40,16,,,55,29,,,,
905878352825130_2158600617552891,https://www.facebook.com/NogginLA/posts/2158600617552891,"¿Buscas entretenimiento educativo para tu peque? Rusty Rivets presenta las técnicas básicas del proceso de ingeniería para preescolares - lo justo para sembrar un interés. ¡Descarga Noggin y disfruta de las mejores series de Nick Jr sin publicidad! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/19/2019 07:00:00 AM"," ",438,438,0,612,612,0,46,41,71,0,0,431,303,0,0,12,35,41,0,0,98,106,0,0,5426,16338,2,2,,2,2,,37,18,1,,45,25,1,,,
905878352825130_2150540631692223,https://www.facebook.com/NogginLA/posts/2150540631692223,"¡Llega Semana Santa y con ella el especial Cuentos de Pascua! Blaze, Paw Patrol y Team Umizoomi necesitarán la ayuda de tu peque para encontrar los huevos de pascuas y otros dulces festivos. ¡Descarga Noggin y obtén 7 días gratis! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/13/2019 06:00:16 AM"," ",342,342,0,471,471,0,42,39,118,0,0,332,258,0,0,10,39,54,0,0,81,110,0,0,8522,15635,6,,,6,,,34,15,,,97,21,,,,
905878352825130_2150531545026465,https://www.facebook.com/NogginLA/posts/2150531545026465,"Nella la Princesa Valiente es una princesa dedicada a actividades reales y se transforma cuando ella o sus amigos se encuentran en problemas. Su mensaje es excelente para niños porque les recuerda que no estamos definidos por cómo nos vemos, sino por lo que creemos que podemos hacer.",Video,,,"04/12/2019 09:47:52 AM"," ",319,319,0,434,434,0,43,42,101,0,0,298,227,0,0,12,37,46,0,0,68,92,0,0,6325,15379,2,,,2,,,42,7,,,87,14,,,,
905878352825130_2138116199601333,https://www.facebook.com/NogginLA/posts/2138116199601333,"¡Llegó Nella la Princesa Valiente, el mega estreno del mes! Descarga la serie que cambiará el mundo de las princesas para siempre 👑🗡💖🛡. Encuéntrala y disfrútala offline con tu peque 🤳

Android: https://goo.gl/A8pm8K 
iOS: https://goo.gl/obGlp5",Video,,,"04/05/2019 07:50:00 AM"," ",374,374,0,491,491,0,130,127,219,0,0,263,212,0,0,8,76,84,0,0,154,191,0,0,14182,30377,4,1,,5,1,,123,18,,,178,41,,,,
905878352825130_2138107082935578,https://www.facebook.com/NogginLA/posts/2138107082935578,"¡Tenemos una nueva temporada completa de Pistas de Blue! ¿Lo conoces? Es el show que revolucionó el género de serie animada educativa al invitar a sus espectadores a participar. ¡Descarga la app de Noggin para que tu peque obtenga este beneficio!",Video,,,"04/04/2019 08:34:39 AM"," ",401,401,0,545,545,0,244,238,313,0,0,314,227,0,0,13,173,210,0,0,286,340,0,0,13032,18643,8,1,,9,2,,235,24,,,286,27,,,,
905878352825130_2133377510075202,https://www.facebook.com/NogginLA/posts/2133378240075129:0,"Noggin Latinoamérica",Photo,,,"04/01/2019 07:48:17 AM"," ",9,9,0,10,10,0,24,8,12,0,0,3,2,0,0,9,0,0,0,0,0,0,0,0,0,0,14,,2,22,,2,,,,8,,,,12,,
905878352825130_2128571497222470,https://www.facebook.com/NogginLA/posts/2128571497222470,"Los Chocolix es nuestra nueva serie. Trae interesantes relatos de familia y muuuuuchas choco canciones para bailar con tus peques ¡Descarga Noggin ya! 
Android: https://goo.gl/A8pm8K 
iOS: https://goo.gl/obGlp5",Video,,,"03/31/2019 06:00:00 AM"," ",630,630,0,838,838,0,83,75,177,0,0,681,530,0,0,17,26,33,0,0,133,182,0,0,11174,56297,6,2,,6,2,,68,18,,,141,36,,,,
