Date and time,Media posted,Type,Promoted,Likes,Likes organic,Likes paid,Comments,Comments organic,Comments paid,Saves,Impressions,Impressions organic,Impressions paid,Reach,Reach organic,Reach paid,Views,Reach rate,Reach rate organic,Reach rate paid,Engagement rate,Engagement rate organic,Engagement rate paid,Engagement on reach,Engagement on reach organic,Engagement on reach paid,Love rate,Talk rate,Number of tags,Filter,Instagram URL,Media direct URL,Location,Fecha,Hora,Dia,Mes,VTR
2019/04/03 18:34:16,0.0,photo,no,22,22,0,0,0,0,1,419,419,0,326,326,0,0.0,0.1198088937890481,0.1198088937890481,0,0.008452774715178243,0.008452774715178243,0,0.0705521472392638,0.0705521472392638,0,0.00808526277104006,0.0,16,0.0,https://www.instagram.com/p/BvzwNPTFKAJ/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54266498_196448457999833_1271458064863900233_n.jpg?_nc_cat=100&_nc_oc=AQl6bCXYhVVNLUyMwLw90nv8J88a7RI4aY0nNLN6RdX-ij2UpcF0txfTdBuYE95TGJI&_nc_ht=scontent.xx&oh=125dfe6dcd5799c2f7aa558c6e496e8c&oe=5DB36FAC,0.0,2019-04-03,18,Miércoles,4,0.0
2019/04/04 16:57:34,0.0,photo,no,16,16,0,0,0,0,1,245,245,0,187,187,0,0.0,0.06862385321100918,0.06862385321100918,0,0.006238532110091743,0.006238532110091743,0,0.09090909090909091,0.09090909090909091,0,0.005871559633027523,0.0,17,0.0,https://www.instagram.com/p/Bv2J7xXF09F/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54510794_409844423163843_6229725346108812413_n.jpg?_nc_cat=107&_nc_oc=AQkEJsJKH5r8WR6jlzhy25UXkhB4jwly3jIi99XSXQrPsDeVUgcVkEuWvGQMpfGKSSY&_nc_ht=scontent.xx&oh=fe875bf1c937982e3fa3e39ab4283d4f&oe=5DB823BA,0.0,2019-04-04,16,Jueves,4,0.0
2019/04/04 16:57:44,0.0,photo,no,25,25,0,0,0,0,1,368,368,0,288,288,0,0.0,0.1056880733944954,0.1056880733944954,0,0.009541284403669725,0.009541284403669725,0,0.09027777777777779,0.09027777777777779,0,0.009174311926605505,0.0,17,0.0,https://www.instagram.com/p/Bv2J9D-FT-e/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53837173_155942022085662_686251457031519904_n.jpg?_nc_cat=102&_nc_oc=AQnGfIn1JmSi_lf7SDwAymcV_tUeIyG8ikJFyVaZpblpoqF1tdKA8iNVI680uaDaICU&_nc_ht=scontent.xx&oh=35d39e12eaa72ab939ce40a6db3ae753&oe=5DB70647,0.0,2019-04-04,16,Jueves,4,0.0
2019/04/04 16:58:23,0.0,photo,no,20,20,0,0,0,0,3,411,411,0,309,309,0,0.0,0.113394495412844,0.113394495412844,0,0.008440366972477064,0.008440366972477064,0,0.0744336569579288,0.0744336569579288,0,0.007339449541284404,0.0,17,0.0,https://www.instagram.com/p/Bv2KBvdleZY/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54731932_2206786602697888_2978742567005771641_n.jpg?_nc_cat=107&_nc_oc=AQlDvRAJ9D5w0MBcE0SnL39f2LlWDgMTjkRCzfDqcnXbyyQeDAnacx0nAHorU14JBvI&_nc_ht=scontent.xx&oh=4b601a75b10e00cb39bb1e071b708382&oe=5DB754D1,0.0,2019-04-04,16,Jueves,4,0.0
2019/04/08 16:57:19,0.0,photo,no,14,14,0,0,0,0,1,388,388,0,308,308,0,0.0,0.1126554498902707,0.1126554498902707,0,0.005486466715435259,0.005486466715435259,0,0.0487012987012987,0.0487012987012987,0,0.005120702267739575,0.0,20,0.0,https://www.instagram.com/p/BwAdFerFfb0/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56263010_2267092976842177_7257081014397866666_n.jpg?_nc_cat=102&_nc_oc=AQmhZtfV7kGb-ZP9x__9qIiuJyCGoQqf1GNGWRz1SBJvF_pWiqsmwTfhcIK2VkB3rZ0&_nc_ht=scontent.xx&oh=6f4100c3eb9d89c1cfdbd53d8e79e6a2&oe=5DC30059,0.0,2019-04-08,16,Lunes,4,0.0
2019/04/08 16:57:30,0.0,photo,no,18,18,0,0,0,0,1,351,351,0,298,298,0,0.0,0.1089978054133138,0.1089978054133138,0,0.006949524506217996,0.006949524506217996,0,0.06375838926174497,0.06375838926174497,0,0.006583760058522312,0.0,20,0.0,https://www.instagram.com/p/BwAdG17lRGA/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54512302_1038850589654239_6239925236075482813_n.jpg?_nc_cat=110&_nc_oc=AQkfsWhqOWxWJTKod_cPGS5zVynS2zm_fprFLMSPAdZBs3LwLofOcBrxTE3T97NzqsY&_nc_ht=scontent.xx&oh=8f30cb2b41cd79925a36be6f46b82937&oe=5DABB283,0.0,2019-04-08,16,Lunes,4,0.0
2019/04/08 16:57:51,0.0,photo,no,18,18,0,0,0,0,1,316,316,0,273,273,0,0.0,0.09989023051591657,0.09989023051591657,0,0.006952067325283571,0.006952067325283571,0,0.0695970695970696,0.0695970695970696,0,0.006586169045005489,0.0,21,0.0,https://www.instagram.com/p/BwAdJXblAy6/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56508848_2495606270472221_2400485244466031782_n.jpg?_nc_cat=105&_nc_oc=AQlRAk3UYAI08t3YMdOVtCJMfLTU3r6KHONv-4Mg12HgJrxTy3m_kiqzYwqMZLeP644&_nc_ht=scontent.xx&oh=8ae2d15ad6e8a7b3e308302d4494aaa9&oe=5DBEB89F,0.0,2019-04-08,16,Lunes,4,0.0
2019/04/09 13:15:38,0.0,photo,no,19,19,0,3,3,0,1,368,368,0,303,303,0,0.0,0.1103021477975974,0.1103021477975974,0,0.008372770294867127,0.008372770294867127,0,0.07590759075907591,0.07590759075907591,0,0.00691663633054241,0.001092100473243538,20,0.0,https://www.instagram.com/p/BwCogvSlQAU/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54800671_317269852225507_6270149996372479711_n.jpg?_nc_cat=107&_nc_oc=AQnOZflEp7kTu58JnlrNLb9k_Dhhn_nikstwgfs1RiV6y-woqjGdwh7PV4l5g2UOCGc&_nc_ht=scontent.xx&oh=c4d2440f0798f7cc8261f3059dd42b5d&oe=5DB72CF1,0.0,2019-04-09,13,Martes,4,0.0
2019/04/09 13:15:52,0.0,photo,no,24,24,0,2,2,0,1,454,454,0,369,369,0,0.0,0.1343283582089552,0.1343283582089552,0,0.009828904259191846,0.009828904259191846,0,0.07317073170731708,0.07317073170731708,0,0.008736803785948308,0.0007280669821623589,20,0.0,https://www.instagram.com/p/BwCoibBljMs/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54731758_165607434378565_3454338233730733571_n.jpg?_nc_cat=105&_nc_oc=AQlsE2Jua1hm-KTy1Oz_YQlSsoYlx5DxFWrvOKjWEAP6AEfSECNX_MxjinTHntRfkQk&_nc_ht=scontent.xx&oh=09e16435ee074c73d0d039125e2b98a7&oe=5DAFA8FE,0.0,2019-04-09,13,Martes,4,0.0
2019/04/09 13:16:18,0.0,photo,no,21,21,0,3,3,0,1,325,325,0,248,248,0,0.0,0.09028030578813251,0.09028030578813251,0,0.009100837277029487,0.009100837277029487,0,0.1008064516129032,0.1008064516129032,0,0.007644703312704769,0.001092100473243538,21,0.0,https://www.instagram.com/p/BwColiNlx_i/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54511186_2271378432919130_5240861874979012937_n.jpg?_nc_cat=108&_nc_oc=AQkyYurs-DR6AkLGFxQ6Nia7GKRsd0BsIlWogGQlOcwYiBL_u1EXaZ1Kbc8t5xdTvjg&_nc_ht=scontent.xx&oh=f7dbcb5743565b7f452c0d663cac463e&oe=5D823FD4,0.0,2019-04-09,13,Martes,4,0.0
2019/04/15 18:04:05,0.0,photo,no,34,34,0,1,1,0,0,421,421,0,331,331,0,0.0,0.1199275362318841,0.1199275362318841,0,0.01268115942028986,0.01268115942028986,0,0.1057401812688822,0.1057401812688822,0,0.01231884057971014,0.0003623188405797102,18,0.0,https://www.instagram.com/p/BwSmSqEHU8N/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56382773_2514175141940501_7833222483052760931_n.jpg?_nc_cat=102&_nc_oc=AQlRrvXTGoER-3MB_yLleE48FWenbfnINtI7Gx58zsUR3mg2anDsLIuazQSu0lEEO40&_nc_ht=scontent.xx&oh=d1c103114281a9b9c167cba21066a636&oe=5DC0CDF3,0.0,2019-04-15,18,Lunes,4,0.0
2019/04/16 13:13:22,0.0,video,no,24,24,0,1,1,0,1,497,497,0,359,359,0,95.0,0.1298842257597685,0.1298842257597685,0,0.009406657018813314,0.009406657018813314,0,0.07242339832869081,0.07242339832869081,0,0.008683068017366135,0.000361794500723589,20,0.0,https://www.instagram.com/p/BwUpxSpHgCq/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56532483_2287941404755208_7688203288976367962_n.jpg?_nc_cat=108&_nc_oc=AQk71GYrGf-Xw5ii4Z8LHnw_gYafJw_QykDPAnx0sXoDxyeB1UPUvwoKhJIqVXTvoFM&_nc_ht=scontent.xx&oh=bd301ea83be95c02f8ace4fd28dc416d&oe=5D7C67B7,0.0,2019-04-16,13,Martes,4,0.2646239554317549
2019/04/17 17:41:46,0.0,photo,no,21,21,0,2,2,0,1,361,361,0,270,270,0,0.0,0.09757860498735091,0.09757860498735091,0,0.008673653776653415,0.008673653776653415,0,0.08888888888888889,0.08888888888888889,0,0.007589447054571739,0.0007228044813877846,17,0.0,https://www.instagram.com/p/BwXtU5VHI25/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56215372_340124496708324_7805537934382665930_n.jpg?_nc_cat=110&_nc_oc=AQl7CKd7N4qZVK2KAYF-YXDZGf75xIp5Ci-Y13CQYiVJIIyVThFkeYzporUsQOfMM64&_nc_ht=scontent.xx&oh=1c44e827d98cd9e302851aef569cef6e&oe=5D7EDAB4,0.0,2019-04-17,17,Miércoles,4,0.0
2019/04/22 18:06:48,0.0,photo,no,15,15,0,1,1,0,1,283,283,0,186,186,0,0.0,0.0670028818443804,0.0670028818443804,0,0.006123919308357349,0.006123919308357349,0,0.0913978494623656,0.0913978494623656,0,0.005403458213256484,0.0003602305475504323,15,0.0,https://www.instagram.com/p/BwkoKr3HDSk/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56529090_283385669237586_7399207127513049645_n.jpg?_nc_cat=108&_nc_oc=AQmle7xw1ShUYK0ayEnTbx0E0cYZu0q-8mO4Sw2MtssUtHcSgxoVaMCvHt0k5XplZC0&_nc_ht=scontent.xx&oh=f201eb61fd2c1606bceccd8c5bfeab1c&oe=5DBFDA10,0.0,2019-04-22,18,Lunes,4,0.0
