Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
905878352825130_2172418216171131,https://www.facebook.com/NogginLA/posts/2172418216171131,Video,0.0,0.0,04/27/2019 07:00:01 AM, ,544,544,0,758,758,0,55,50,80,0,0,538,396,0,0,22,30,33,0,0,112,123,0,0,6048,24190,6.0,1.0,0.0,6.0,1.0,0.0,35.0,31.0,1.0,0.0,39.0,40.0,1.0,0.0,0.0,0.0,2019-04-27,7,Sábado,4,0.2059,0.0717
905878352825130_2172339396179013,https://www.facebook.com/NogginLA/posts/2172339396179013,Video,0.0,0.0,04/26/2019 08:28:04 AM, ,555,555,0,783,783,0,37,30,45,0,0,590,425,0,0,16,38,42,0,0,114,124,0,0,4852,13694,7.0,1.0,0.0,7.0,1.0,0.0,20.0,17.0,0.0,0.0,23.0,22.0,0.0,0.0,0.0,0.0,2019-04-26,8,Viernes,4,0.2054,0.045
905878352825130_2158602790886007,https://www.facebook.com/NogginLA/posts/2158602790886007,Video,0.0,0.0,04/20/2019 07:00:01 AM, ,367,367,0,513,513,0,46,43,84,0,0,387,271,0,0,9,36,37,0,0,78,96,0,0,5829,18387,1.0,1.0,0.0,1.0,1.0,0.0,40.0,16.0,0.0,0.0,55.0,29.0,0.0,0.0,0.0,0.0,2019-04-20,7,Sábado,4,0.2125,0.049
905878352825130_2158600617552891,https://www.facebook.com/NogginLA/posts/2158600617552891,Video,0.0,0.0,04/19/2019 07:00:00 AM, ,438,438,0,612,612,0,46,41,71,0,0,431,303,0,0,12,35,41,0,0,98,106,0,0,5426,16338,2.0,2.0,0.0,2.0,2.0,0.0,37.0,18.0,1.0,0.0,45.0,25.0,1.0,0.0,0.0,0.0,2019-04-19,7,Viernes,4,0.2237,0.0525
905878352825130_2150540631692223,https://www.facebook.com/NogginLA/posts/2150540631692223,Video,0.0,0.0,04/13/2019 06:00:16 AM, ,342,342,0,471,471,0,42,39,118,0,0,332,258,0,0,10,39,54,0,0,81,110,0,0,8522,15635,6.0,0.0,0.0,6.0,0.0,0.0,34.0,15.0,0.0,0.0,97.0,21.0,0.0,0.0,0.0,0.0,2019-04-13,6,Sábado,4,0.2368,0.0614
905878352825130_2150531545026465,https://www.facebook.com/NogginLA/posts/2150531545026465,Video,0.0,0.0,04/12/2019 09:47:52 AM, ,319,319,0,434,434,0,43,42,101,0,0,298,227,0,0,12,37,46,0,0,68,92,0,0,6325,15379,2.0,0.0,0.0,2.0,0.0,0.0,42.0,7.0,0.0,0.0,87.0,14.0,0.0,0.0,0.0,0.0,2019-04-12,9,Viernes,4,0.2132,0.0282
905878352825130_2138116199601333,https://www.facebook.com/NogginLA/posts/2138116199601333,Video,0.0,0.0,04/05/2019 07:50:00 AM, ,374,374,0,491,491,0,130,127,219,0,0,263,212,0,0,8,76,84,0,0,154,191,0,0,14182,30377,4.0,1.0,0.0,5.0,1.0,0.0,123.0,18.0,0.0,0.0,178.0,41.0,0.0,0.0,0.0,0.0,2019-04-05,7,Viernes,4,0.4118,0.0615
905878352825130_2138107082935578,https://www.facebook.com/NogginLA/posts/2138107082935578,Video,0.0,0.0,04/04/2019 08:34:39 AM, ,401,401,0,545,545,0,244,238,313,0,0,314,227,0,0,13,173,210,0,0,286,340,0,0,13032,18643,8.0,1.0,0.0,9.0,2.0,0.0,235.0,24.0,0.0,0.0,286.0,27.0,0.0,0.0,0.0,0.0,2019-04-04,8,Jueves,4,0.7132,0.0823
905878352825130_2133377510075202,https://www.facebook.com/NogginLA/posts/2133378240075129:0,Photo,0.0,0.0,04/01/2019 07:48:17 AM, ,9,9,0,10,10,0,24,8,12,0,0,3,2,0,0,9,0,0,0,0,0,0,0,0,0,0,14.0,0.0,2.0,22.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,2019-04-01,7,Lunes,4,0.0,0.0
905878352825130_2128571497222470,https://www.facebook.com/NogginLA/posts/2128571497222470,Video,0.0,0.0,03/31/2019 06:00:00 AM, ,630,630,0,838,838,0,83,75,177,0,0,681,530,0,0,17,26,33,0,0,133,182,0,0,11174,56297,6.0,2.0,0.0,6.0,2.0,0.0,68.0,18.0,0.0,0.0,141.0,36.0,0.0,0.0,0.0,0.0,2019-03-31,6,Domingo,3,0.2111,0.0413
905878352825130_2128560307223589,https://www.facebook.com/NogginLA/posts/2128560307223589,Video,0.0,0.0,03/29/2019 08:00:01 AM, ,726,726,0,975,975,0,324,319,574,0,0,776,587,0,0,28,303,441,0,0,397,577,0,0,9983,9983,15.0,1.0,0.0,18.0,1.0,0.0,307.0,29.0,2.0,0.0,532.0,40.0,2.0,0.0,0.0,0.0,2019-03-29,8,Viernes,3,0.5468,0.0647
