Date and time,Media posted,Type,Promoted,Likes,Likes organic,Likes paid,Comments,Comments organic,Comments paid,Saves,Impressions,Impressions organic,Impressions paid,Reach,Reach organic,Reach paid,Views,Reach rate,Reach rate organic,Reach rate paid,Engagement rate,Engagement rate organic,Engagement rate paid,Engagement on reach,Engagement on reach organic,Engagement on reach paid,Love rate,Talk rate,Number of tags,Filter,Instagram URL,Media direct URL,Location,Fecha,Hora,Dia,Mes
2019/04/04 18:33:20,0.0,photo,no,12,12,0,1,1,0,0,296,296,0,234,234,0,0.0,0.07857622565480188,0.07857622565480188,0,0.004365345869711216,0.004365345869711216,0,0.05555555555555555,0.05555555555555555,0,0.004029550033579584,0.000335795836131632,29,0.0,https://www.instagram.com/p/Bv2U5Oon58Z/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54457921_290859055144485_7831223369659237580_n.jpg?_nc_cat=103&_nc_oc=AQmQR3jQb52-XhrYRunlH44w4aPdfNdyelf7z39Aj_1ke8xs9-uoKw04-Gn_KndmId0&_nc_ht=scontent.xx&oh=709166e1f02795b33fa3b34d346fba87&oe=5DC1AE70,0.0,2019-04-04,18,Jueves,4
2019/04/04 18:33:49,0.0,photo,no,14,14,0,1,1,0,0,294,294,0,225,225,0,0.0,0.0755540631296172,0.0755540631296172,0,0.005036937541974479,0.005036937541974479,0,0.06666666666666667,0.06666666666666667,0,0.004701141705842847,0.000335795836131632,29,0.0,https://www.instagram.com/p/Bv2U8vBHn12/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54731743_2030827987015630_7016830392919842893_n.jpg?_nc_cat=106&_nc_oc=AQmoIzvspYZ975wQqxYIwA_UPhjb36Cl0RDDvrrNASnOaEk1X4GGDjrKIJkdFtEReXw&_nc_ht=scontent.xx&oh=e66b33829bb222f181cc4bf685c7b2da&oe=5D7E9638,0.0,2019-04-04,18,Jueves,4
2019/04/04 18:34:09,0.0,photo,no,14,14,0,3,3,0,0,278,278,0,241,241,0,0.0,0.0809267965077233,0.0809267965077233,0,0.005708529214237743,0.005708529214237743,0,0.07053941908713693,0.07053941908713693,0,0.004701141705842847,0.001007387508394896,29,0.0,https://www.instagram.com/p/Bv2U_KHno5B/,https://scontent.xx.fbcdn.net/v/t51.2885-15/53303655_652448861870112_9074007190843040233_n.jpg?_nc_cat=104&_nc_oc=AQlqcA4Wzwxtocj8p-FxfGt6_gf2pLrya2TyIofesJfxy30B5JV_cnJ9wRD4XWGgmwc&_nc_ht=scontent.xx&oh=1270871dd12a14a0e0495337a0c47fa6&oe=5DC020DE,0.0,2019-04-04,18,Jueves,4
2019/04/06 13:33:44,0.0,photo,no,18,18,0,0,0,0,0,336,336,0,262,262,0,0.0,0.08809683927370544,0.08809683927370544,0,0.00605245460659045,0.00605245460659045,0,0.06870229007633588,0.06870229007633588,0,0.00605245460659045,0.0,30,0.0,https://www.instagram.com/p/Bv68MlknsuN/,https://scontent.xx.fbcdn.net/v/t51.2885-15/55919286_268746610678653_8489433049483622398_n.jpg?_nc_cat=109&_nc_oc=AQmyCkxu7uI8hr9VXJWOddgOg4nCgq78V6ONcLbmPouhLyBn0G-LKQPaQ575F8aFtxs&_nc_ht=scontent.xx&oh=53e09582478b5682fad38805383315ce&oe=5D8501B5,0.0,2019-04-06,13,Sábado,4
2019/04/06 13:34:16,0.0,photo,no,25,25,0,1,1,0,0,367,367,0,294,294,0,0.0,0.0988567585743107,0.0988567585743107,0,0.008742434431741762,0.008742434431741762,0,0.08843537414965986,0.08843537414965986,0,0.008406186953597848,0.0003362474781439139,30,0.0,https://www.instagram.com/p/Bv68Qk3Hjnk/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56532486_355315455081386_5028457589088403648_n.jpg?_nc_cat=100&_nc_oc=AQm7ZoZq3jQIgy15ZMYUeSAWYtuxUrXDTmLFbc_FbtiNvGOtatsv5LXINGel4pTesug&_nc_ht=scontent.xx&oh=7136920d10b7507c716d51e34791c5bc&oe=5DC56EC6,0.0,2019-04-06,13,Sábado,4
2019/04/06 13:34:39,0.0,photo,no,25,25,0,4,4,0,2,468,468,0,352,352,0,0.0,0.1183591123066577,0.1183591123066577,0,0.01042367182246133,0.01042367182246133,0,0.08806818181818182,0.08806818181818182,0,0.008406186953597848,0.001344989912575656,30,0.0,https://www.instagram.com/p/Bv68TYMHGen/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54277719_386220781971021_5355554279873609392_n.jpg?_nc_cat=105&_nc_oc=AQlvYhdzo2gX4K7l0Rp-bXrrtAIyW-_Ux4BOGOHhx51-aOT0zRWDPZ8AIBx-nfepOXE&_nc_ht=scontent.xx&oh=e16e86dfa0162b139e875d7265227da8&oe=5D7960D8,0.0,2019-04-06,13,Sábado,4
2019/04/08 19:49:42,0.0,photo,no,21,21,0,0,0,0,0,385,385,0,315,315,0,0.0,0.1060249074385729,0.1060249074385729,0,0.007068327162571525,0.007068327162571525,0,0.06666666666666667,0.06666666666666667,0,0.007068327162571525,0.0,29,0.0,https://www.instagram.com/p/BwAw0BHno6i/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54731865_1020839644768329_2775440721742547639_n.jpg?_nc_cat=101&_nc_oc=AQmp-fSFtg7tbFSHnCZD98PcO-rW1uL0p6uz6d4MxTCSRndT7cvUBi-qh8DqnNYdg7U&_nc_ht=scontent.xx&oh=97ea2b6983dbab77b2d3eeb028500d3f&oe=5D7F50D1,0.0,2019-04-08,19,Lunes,4
2019/04/08 19:49:59,0.0,photo,no,18,18,0,2,2,0,0,434,434,0,360,360,0,0.0,0.1211713227869404,0.1211713227869404,0,0.006731740154830024,0.006731740154830024,0,0.05555555555555555,0.05555555555555555,0,0.006058566139347021,0.0006731740154830024,29,0.0,https://www.instagram.com/p/BwAw2HbH2UR/,https://scontent.xx.fbcdn.net/v/t51.2885-15/54512689_130608091347205_8013568707141414857_n.jpg?_nc_cat=108&_nc_oc=AQlfd-RiUApOXX_WUL_VYowd-CkTXbKncJdWMLQLh58QVqmbAt5ZKb44r9IDCF4i-bk&_nc_ht=scontent.xx&oh=22638640a702f291ba47a97133050f8a&oe=5D81C0A5,0.0,2019-04-08,19,Lunes,4
2019/04/08 19:50:19,0.0,photo,no,22,22,0,0,0,0,0,321,321,0,246,246,0,0.0,0.08280040390440929,0.08280040390440929,0,0.007404914170313026,0.007404914170313026,0,0.08943089430894309,0.08943089430894309,0,0.007404914170313026,0.0,29,0.0,https://www.instagram.com/p/BwAw4kCHBDG/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56249809_595865837582969_5854352982927974161_n.jpg?_nc_cat=104&_nc_oc=AQkyZU4PaLFmjwCP476i1aQxZYzDdL26qkuEve8Nmq9DRLw81XZ4J1CKp8N8dyIr6r8&_nc_ht=scontent.xx&oh=ceeb14c1057a46e16b2e8ad672c61f71&oe=5DBC4A68,0.0,2019-04-08,19,Lunes,4
2019/04/09 19:41:45,0.0,photo,no,17,17,0,0,0,0,0,244,244,0,187,187,0,0.0,0.06294177044766072,0.06294177044766072,0,0.00572197913160552,0.00572197913160552,0,0.09090909090909091,0.09090909090909091,0,0.00572197913160552,0.0,0,0.0,https://www.instagram.com/p/BwDUsqxHwbH/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56862497_2376836519265241_4208416455716103700_n.jpg?_nc_cat=107&_nc_oc=AQlN2qdo6QVvEPM8Nrmb0OYeaQ3km3dMiqAPdp2p5ts1QGkO0AMx5g9k3P_HRWH2Wjs&_nc_ht=scontent.xx&oh=0841c376e13ae0e8dd58e802274b93cd&oe=5DBF887A,0.0,2019-04-09,19,Martes,4
2019/04/09 19:42:02,0.0,photo,no,17,17,0,0,0,0,0,222,222,0,177,177,0,0.0,0.05957590037024571,0.05957590037024571,0,0.00572197913160552,0.00572197913160552,0,0.096045197740113,0.096045197740113,0,0.00572197913160552,0.0,0,0.0,https://www.instagram.com/p/BwDUuzFn4F6/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56598279_378805856044743_5026892554784945174_n.jpg?_nc_cat=103&_nc_oc=AQmRdpwYWITzRd4zFgtq_WwT9qT93RLWbpytX1lrgh3hlAt34W_0SulcaGatD-r00tA&_nc_ht=scontent.xx&oh=8f83571a62cbef843b284251b2e23dc0&oe=5DBF3C4E,0.0,2019-04-09,19,Martes,4
2019/04/09 19:42:19,0.0,photo,no,15,15,0,0,0,0,0,185,185,0,148,148,0,0.0,0.04981487714574218,0.04981487714574218,0,0.005048805116122518,0.005048805116122518,0,0.1013513513513514,0.1013513513513514,0,0.005048805116122518,0.0,0,0.0,https://www.instagram.com/p/BwDUwySnziU/,https://scontent.xx.fbcdn.net/v/t51.2885-15/55912194_429909757763251_5224490264770193836_n.jpg?_nc_cat=100&_nc_oc=AQlcg8secjOLA_l5Bhd2ohX9-mNupe62WO6p0WJIRaeliA31tTkuOrDCQ64aly-GzHc&_nc_ht=scontent.xx&oh=0cd972e7ff6e3aa420a825a7eadbc24b&oe=5DB2275B,0.0,2019-04-09,19,Martes,4
2019/04/16 19:56:07,0.0,photo,no,42,42,0,1,1,0,0,408,408,0,320,320,0,0.0,0.1073105298457411,0.1073105298457411,0,0.01441985244802146,0.01441985244802146,0,0.134375,0.134375,0,0.01408450704225352,0.000335345405767941,30,0.0,https://www.instagram.com/p/BwVX6BMH9GF/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56974012_170896900491251_2385187655548861233_n.jpg?_nc_cat=100&_nc_oc=AQmqiJIO2c8Cagt4BmvkAMcKr_fz7Gyi2ZXNqEK9CDxskfpdjo1stOufdWgGCNIWsXw&_nc_ht=scontent.xx&oh=4139f27afa2543fb950aa11033217e0f&oe=5DB5CF1A,0.0,2019-04-16,19,Martes,4
2019/04/17 21:03:21,0.0,video,no,40,40,0,1,1,0,1,402,402,0,328,328,0,67.0,0.109479305740988,0.109479305740988,0,0.01401869158878505,0.01401869158878505,0,0.1280487804878049,0.1280487804878049,0,0.01335113484646195,0.0003337783711615487,29,0.0,https://www.instagram.com/p/BwYESdLnqPo/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56800929_174735530180675_1912324342968265447_n.jpg?_nc_cat=108&_nc_oc=AQl6sMSNYHQjdrC_hBeqy9aPn3e1LOzIPR0Q2IgJgBElgvbwg_RiKKM3_BlDILRWKTA&_nc_ht=scontent.xx&oh=6bf806422e134eddfa2a83bb1cc4fe26&oe=5D81A8F9,0.0,2019-04-17,21,Miércoles,4
2019/04/18 13:56:27,0.0,photo,no,23,23,0,0,0,0,0,303,303,0,228,228,0,0.0,0.07602534178059353,0.07602534178059353,0,0.007669223074358121,0.007669223074358121,0,0.1008771929824561,0.1008771929824561,0,0.007669223074358119,0.0,30,0.0,https://www.instagram.com/p/BwZ4VgZnVnq/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56226309_2065627077073215_7073806306008265313_n.jpg?_nc_cat=108&_nc_oc=AQlbYybsqS1aSeAEw8yV5RW0MQu2IolynN6aPWjjsfTjR98b0PP1ECGX6O5sep1woQ8&_nc_ht=scontent.xx&oh=58c6fb2a5e2a6df490ab6a7c7fdf01a1&oe=5DB806D5,0.0,2019-04-18,13,Jueves,4
2019/04/22 16:05:41,0.0,photo,no,27,27,0,0,0,0,1,389,389,0,320,320,0,0.0,0.1064183571666112,0.1064183571666112,0,0.009311606252078483,0.009311606252078483,0,0.0875,0.0875,0,0.008979048885932824,0.0,30,0.0,https://www.instagram.com/p/BwkaTl0njvu/,https://scontent.xx.fbcdn.net/v/t51.2885-15/57343622_332394987448024_2805545551388420362_n.jpg?_nc_cat=102&_nc_oc=AQlSKlPCZc75LMO4qmpYHuo7Iu139hx2bxNFIeIGesiSJgrEBMt8h61lTnZB_6sJTa4&_nc_ht=scontent.xx&oh=36856e6d556dff52aea9c4e5900f77f9&oe=5DBB0839,0.0,2019-04-22,16,Lunes,4
2019/04/23 21:18:42,0.0,video,no,30,30,0,0,0,0,0,267,267,0,194,194,0,75.0,0.06460206460206461,0.06460206460206461,0,0.00999000999000999,0.00999000999000999,0,0.154639175257732,0.154639175257732,0,0.00999000999000999,0.0,28,0.0,https://www.instagram.com/p/BwnimoIHeOU/,https://scontent.xx.fbcdn.net/v/t51.2885-15/56751357_131989494573381_9037699056267960927_n.jpg?_nc_cat=101&_nc_oc=AQmI4hvQmEnXmww-3y3mPcCEC_bkdx1tKdxM1nVJmxt1EuY6XwQJ2zMq9JY_1kC1qPA&_nc_ht=scontent.xx&oh=4f3dbbeb626dd95273fd75ce0828f4e8&oe=5DB88B9E,0.0,2019-04-23,21,Martes,4
