Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
199643730387838_859846127700925,https://www.facebook.com/NogginBR/posts/859846207700917:0,Photo,0.0,0.0,04/01/2019 03:51:27 PM, ,123,123,0,164,164,0,14,1,1,0,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,13,2.0,0.0,13,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019-04-01,15,Lunes,4,0.0,0.122
199643730387838_858488464503358,https://www.facebook.com/NogginBR/posts/858488464503358,Video,0.0,0.0,03/30/2019 12:49:01 PM, ,144,144,0,184,184,0,8,5,5,0,0,137,111,0,0,2,3,4,0,0,17,21,0,0,5002,56297,4,1.0,0.0,4,1.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2019-03-30,12,Sábado,3,0.1181,0.0417
199643730387838_857894964562708,https://www.facebook.com/NogginBR/posts/857894964562708,Video,0.0,0.0,03/29/2019 03:53:04 PM, ,180,180,0,257,257,0,485,478,793,0,0,107,81,0,0,4,436,668,0,0,471,761,0,0,9983,9983,19,3.0,0.0,22,3.0,0.0,478.0,9.0,0.0,0.0,784.0,9.0,0.0,0.0,0.0,0.0,2019-03-29,15,Viernes,3,0.0,0.1722
199643730387838_854094008276137,https://www.facebook.com/NogginBR/posts/854094008276137,Video,0.0,0.0,03/23/2019 04:03:00 PM, ,122,122,0,173,173,0,11,8,11,0,0,125,89,0,0,5,8,9,0,0,20,31,0,0,4578,12478,4,1.0,1.0,4,1.0,1.0,6.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,2019-03-23,16,Sábado,3,0.1639,0.0656
199643730387838_853485571670314,https://www.facebook.com/NogginBR/posts/853485571670314,Video,0.0,0.0,03/22/2019 02:52:55 PM, ,76,76,0,116,116,0,6,5,10,0,0,76,50,0,0,2,5,7,0,0,19,30,0,0,7506,26345,2,1.0,0.0,2,1.0,0.0,4.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,2019-03-22,14,Viernes,3,0.25,0.0526
199643730387838_849676728717865,https://www.facebook.com/NogginBR/posts/849676728717865,Video,0.0,0.0,03/16/2019 03:16:27 PM, ,212,212,0,295,295,0,542,538,754,0,0,152,114,0,0,9,461,606,0,0,553,762,0,0,13459,13459,12,1.0,2.0,13,1.0,2.0,531.0,9.0,0.0,0.0,745.0,9.0,0.0,0.0,0.0,0.0,2019-03-16,15,Sábado,3,0.0,0.1132
199643730387838_849071685445036,https://www.facebook.com/NogginBR/posts/849071685445036,Video,0.0,0.0,03/15/2019 04:00:40 PM, ,660,660,0,917,917,0,30,19,27,0,0,121,67,0,0,7,15,19,0,0,115,134,0,0,3404,22526,11,4.0,3.0,11,4.0,5.0,9.0,11.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,2019-03-15,16,Viernes,3,0.1742,0.0439
199643730387838_845588559126682,https://www.facebook.com/NogginBR/posts/845588559126682,Video,0.0,0.0,03/09/2019 03:55:23 PM, ,10796,10796,0,19837,19835,0,4880,4795,10396,1,1,324,220,0,0,20,2528,3267,0,0,5165,7468,0,0,26208,40489,125,8.0,9.0,169,8.0,17.0,4655.0,2612.0,0.0,0.0,7050.0,3340.0,0.0,0.0,1.0,1.0,2019-03-09,15,Sábado,3,0.4784,0.2551
199643730387838_844976509187887,https://www.facebook.com/NogginBR/posts/844976509187887,Video,0.0,0.0,03/08/2019 03:18:26 PM, ,591,591,0,825,825,0,534,526,838,1,1,242,166,0,0,15,228,310,0,0,560,835,0,0,55252,96105,16,2.0,3.0,20,2.0,10.0,515.0,34.0,0.0,0.0,795.0,43.0,0.0,0.0,1.0,1.0,2019-03-08,15,Viernes,3,0.9475,0.0931
199643730387838_2132083717101629,https://www.facebook.com/NogginBR/videos/2132083717101629/,Video,0.0,0.0,03/03/2019 07:19:40 PM, ,32,32,0,51,51,0,32,31,60,0,0,16,9,0,0,8,9,20,0,0,32,69,0,0,30099,30099,2,1.0,0.0,2,1.0,0.0,31.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,2019-03-03,19,Domingo,3,1.0,0.0938
199643730387838_841917849493753,https://www.facebook.com/NogginBR/posts/841917936160411:0,Photo,0.0,0.0,03/03/2019 03:23:00 PM, ,12,12,0,16,16,0,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1.0,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-03-03,15,Domingo,3,0.0,0.5
199643730387838_840539102964961,https://www.facebook.com/NogginBR/posts/840539102964961,Video,0.0,0.0,03/01/2019 09:56:51 AM, ,603,603,0,820,820,0,21,14,36,0,0,158,100,0,0,5,11,13,0,0,96,126,0,0,4913,28542,6,3.0,2.0,7,4.0,2.0,8.0,10.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,2019-03-01,9,Viernes,3,0.1592,0.0348
