"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
199643730387838_881197475565790,https://www.facebook.com/NogginBR/posts/881197475565790,"Além do fator bilíngue, todas as temporadas de Dora A Aventureira trabalham o sentido de direção ↔️ através de mapas 🗺️, pistas e desafios criados para os pré-escolares. Faça o download do app 📲 para o seu pequeno aprender e se divertir com a Dora e o Mapa onde, quando e quantas vezes quiser!",Video,,,"05/04/2019 11:23:45 AM"," ",524,524,0,718,718,0,25,19,27,0,0,150,89,0,0,4,19,19,0,0,65,78,0,0,4847,24595,3,4,2,5,4,3,9,12,,,12,15,,,,
199643730387838_880044089014462,https://www.facebook.com/NogginBR/posts/880044089014462,"Dora tem uma atitude proativa e também é reflexiva e paciente, já que muitas vezes decide &quot;parar e pensar&quot; em um problema quando não consegue resolvê-lo de imediato. Não percam a NOVA TEMPORADA COMPLETA de Dora, A Aventureira. Baixe o app para curtir com o seu pequeno!",Video,,,"05/02/2019 04:37:41 PM"," ",118,118,0,179,179,0,55,51,61,0,0,115,76,0,0,2,30,34,0,0,65,79,0,0,10336,17257,2,3,,2,3,,51,1,,,60,1,,,,
199643730387838_876107642741440,https://www.facebook.com/NogginBR/posts/876107642741440,"Pode ter certeza de que o Noggin coloca à sua disposição os melhores programas do Nick Jr. com uma atualização mensal, incluindo super lançamentos e especiais para que o seu pequeno aprenda enquanto se diverte. Baixe agora mesmo! Android ➡️ https://goo.gl/A8pm8K iOS ➡️ https://goo.gl/obGlp5",Video,,,"04/27/2019 01:00:00 PM"," ",470,470,0,641,641,0,13,11,17,0,0,125,83,0,0,4,14,16,0,0,51,58,0,0,4360,24190,3,2,,5,3,,8,5,,,9,8,,,,
199643730387838_876106479408223,https://www.facebook.com/NogginBR/posts/876106479408223,"O Noggin é 100% pensado para o bem-estar 🤗 dos pequenos. Com conteúdo criado por especialistas 👨🏾‍🏫 e uma plataforma fechada 🔐, somos um jeito seguro de monitorar 👀 a informação digital que seus filhos consomem #protejasuacrianca Android ➡️ https://goo.gl/A8pm8K iOS ➡️ https://goo.gl/obGlp5",Video,,,"04/26/2019 02:57:44 PM"," ",181,181,0,235,235,0,8,4,5,0,0,92,71,0,0,2,6,8,0,0,24,32,0,0,2888,13694,4,2,,4,2,,2,2,,,3,2,,,,
199643730387838_870043650014506,https://www.facebook.com/NogginBR/posts/870043650014506,"Quais valores Nella, Uma Princesa Corajosa comunica para as crianças? A auto-confiança e a inclusão. Que o importante não é ganhar, mas sim aproveitar o processo que permite superar os diferentes obstáculos que se apresentam. Link em nossa bio para você baixar o app no seu dispositivo 👉📱",Video,,,"04/20/2019 04:31:00 PM"," ",224,224,0,307,307,0,9,5,7,0,0,257,191,0,0,6,12,12,0,0,32,42,0,0,5432,18387,4,2,2,5,2,2,4,2,,,4,3,,,,
199643730387838_870036846681853,https://www.facebook.com/NogginBR/posts/870036846681853,"Em busca de entretenimento educativo para o seu pequeno? Rusty Rivets apresenta as técnicas básicas do processo de engenharia de forma lúdica para pré-escolares. Na medida ideal para semear interesse e curiosidade. Baixe o Noggin e curta as melhores séries do Nick Jr. sem publicidade! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/19/2019 10:00:00 AM"," ",350,350,0,439,439,0,14,8,11,0,0,120,98,0,0,2,13,14,0,0,53,64,0,0,3452,17214,4,3,1,5,3,1,6,2,,,9,2,,,,
199643730387838_867703946915143,https://www.facebook.com/NogginBR/posts/867703946915143,"A Semana Santa chegou e com ela, o especial Contos de Páscoa! Blaze, Patrulha Canina e Team Umizoomi precisam da ajuda dos seus filhos para encontrar os ovos de páscoa e outras surpresas. Baixe o Noggin e obtenha 7 dias grátis! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/14/2019 07:05:00 AM"," ",488,488,0,692,692,0,21,10,11,0,0,152,87,0,0,4,22,24,0,0,56,68,0,0,4165,15635,9,2,3,11,3,5,9,2,,,9,2,,,,
199643730387838_866802820338589,https://www.facebook.com/NogginBR/posts/866802820338589,"Nella é uma princesa tradicional que se dedica a atividades reais, mas se transforma quando ela ou seus amigos se encontram em problemas. A mensagem de “Nella, Uma Princesa Corajosa” é excelente para crianças, porque lhes transmite que não somos definidos por nossa aparência, mas sim pelo que acreditamos que podemos ser e fazer.",Video,,,"04/12/2019 11:59:02 AM"," ",577,577,0,793,793,0,29,23,27,0,0,191,124,0,0,6,24,26,0,0,62,75,0,0,4204,15379,6,3,3,8,4,5,23,,,,27,,,,,
199643730387838_862309947454543,https://www.facebook.com/NogginBR/posts/862309947454543,"Chegou “Nella, Uma Princesa Corajosa”, o mega lançamento do mês, a série que transformará o mundo das princesas para sempre 👑🗡💖🛡. Faça o download do Noggin para que a criançada da sua casa possa curtir esse e outros programas do Nick Jr, off-line e sem comerciais! 🤳Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"04/05/2019 01:53:10 PM"," ",537,537,0,723,723,0,43,38,47,0,0,107,60,0,0,4,32,34,0,0,96,113,0,0,6384,30633,6,3,2,9,5,3,32,8,,,35,12,,,,
199643730387838_861682524183952,https://www.facebook.com/NogginBR/posts/861682524183952,"Temos mais uma temporada de 🐾 Pistas de Blue, o programa que revolucionou o gênero de série animada educativa, ao estimular a participação de seus espectadores. Baixe o app para que seus pequenos assistam e encontrem as pistas... com Blue! 🐾",Video,,,"04/04/2019 02:39:47 PM"," ",91,91,0,142,142,0,28,26,31,0,0,94,60,0,0,6,14,14,0,0,38,51,0,0,9275,18643,5,1,1,6,1,1,24,4,,,27,4,,,,
199643730387838_2128005950628989,https://www.facebook.com/NogginBR/videos/2128005950628989/,,Video,,,"04/01/2019 03:57:42 PM"," ",40,40,0,66,66,0,52,50,93,0,0,9,7,0,0,8,14,34,0,0,44,94,0,0,30547,30547,3,1,,3,1,,49,1,,,92,1,,,,
199643730387838_859846127700925,https://www.facebook.com/NogginBR/posts/859846207700917:0,"Noggin BR",Photo,,,"04/01/2019 03:51:27 PM"," ",123,123,0,164,164,0,14,1,1,0,0,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,13,2,,13,2,,,,1,,,,1,,,
199643730387838_858488464503358,https://www.facebook.com/NogginBR/posts/858488464503358,"Situações familiares e muuuuuitas choco músicas para dançar 💃🏽 com a criançada: tudo isso e muito mais você encontra na nossa nova série, 🍫Os Chocolix. Não fiquem de fora! Baixe já o Noggin! Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"03/30/2019 12:49:01 PM"," ",144,144,0,184,184,0,8,5,5,0,0,137,111,0,0,2,3,4,0,0,17,21,0,0,5002,56297,4,1,,4,1,,4,1,,,4,1,,,,
